Trajectories
100
,,mechanicle_knee:thigh1,,,mechanicle_knee:thigh2,,,mechanicle_knee:thigh3,,,mechanicle_knee:thigh4,,,mechanicle_knee:thigh5,,,mechanicle_knee:shank1,,,mechanicle_knee:shank2,,,mechanicle_knee:shank3,,,mechanicle_knee:shank4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
33,0,83.1252,100.091,130.388,24.9565,61.5637,129.953,98.5735,26.6012,128.881,59.6209,9.3312,129.058,11.8518,179.189,143.588,-27.9212,298.653,146.663,-83.5571,267.896,146.319,0.331437,258.432,145.884,-43.0084,210.734,145.079
34,0,83.1088,100.113,130.319,24.9582,61.5548,129.931,98.5844,26.602,128.85,59.6387,9.32598,129.043,11.8535,179.177,143.575,-27.903,298.639,146.63,-83.5339,267.88,146.289,0.372044,258.394,145.872,-42.9861,210.724,145.06
35,0,83.13,100.101,130.346,24.9669,61.5595,129.904,98.5929,26.5975,128.826,59.6504,9.32526,129.026,11.8698,179.18,143.531,-27.8954,298.63,146.596,-83.5236,267.881,146.269,0.3624,258.417,145.84,-42.9786,210.723,145.031
36,0,83.1297,100.111,130.334,24.9813,61.5595,129.919,98.6052,26.611,128.838,59.6592,9.32044,129.019,11.8798,179.188,143.539,-27.8725,298.627,146.599,-83.5091,267.879,146.286,0.366712,258.427,145.845,-42.9649,210.731,145.039
37,0,83.1115,100.046,130.393,24.9924,61.5613,129.95,98.599,26.6164,128.877,59.6567,9.33506,129.071,11.8731,179.189,143.577,-27.8855,298.646,146.634,-83.5077,267.892,146.316,0.373851,258.436,145.885,-42.9636,210.73,145.069
38,0,83.1594,100.105,130.38,24.9996,61.5561,129.983,98.585,26.5834,128.877,59.6783,9.33448,129.096,11.8889,179.201,143.599,-27.8735,298.653,146.672,-83.4965,267.899,146.344,0.410575,258.414,145.925,-42.9531,210.748,145.096
39,0,83.1691,100.099,130.375,24.9923,61.5508,129.966,98.6204,26.6147,128.89,59.6737,9.33103,129.079,11.8896,179.182,143.589,-27.8656,298.651,146.647,-83.4882,267.892,146.319,0.392278,258.424,145.881,-42.9443,210.735,145.09
40,0,83.1521,100.094,130.348,24.9952,61.5569,129.928,98.6238,26.6042,128.847,59.6721,9.32126,129.03,11.9018,179.191,143.548,-27.8441,298.635,146.601,-83.494,267.889,146.267,0.393912,258.425,145.848,-42.9465,210.738,145.035
41,0,83.1438,100.091,130.351,24.9773,61.552,129.914,98.6079,26.5893,128.829,59.6632,9.31992,129.023,11.8943,179.188,143.549,-27.8535,298.628,146.586,-83.4945,267.886,146.274,0.382578,258.426,145.832,-42.9489,210.73,145.023
42,0,83.1211,100.069,130.358,24.9574,61.5443,129.931,98.5787,26.5879,128.858,59.6346,9.31779,129.038,11.8661,179.18,143.558,-27.8905,298.633,146.606,-83.5196,267.889,146.286,0.348574,258.413,145.839,-42.9812,210.731,145.045
43,0,83.1088,100.124,130.334,24.9515,61.5523,129.966,98.5776,26.5998,128.89,59.631,9.32215,129.075,11.8726,179.197,143.576,-27.8746,298.652,146.632,-83.5185,267.906,146.314,0.38408,258.405,145.893,-42.9781,210.738,145.072
44,0,83.1331,100.126,130.362,24.953,61.5671,129.985,98.5636,26.6123,128.89,59.6199,9.32603,129.098,11.8438,179.195,143.584,-27.8827,298.67,146.627,-83.5143,267.922,146.311,0.396694,258.417,145.889,-42.9814,210.751,145.073
45,0,83.0926,100.048,130.402,24.959,61.5686,129.968,98.5807,26.6098,128.881,59.6268,9.34471,129.091,11.8588,179.215,143.558,-27.8415,298.67,146.602,-83.4837,267.932,146.283,0.416797,258.422,145.869,-42.9556,210.759,145.06
46,0,83.0689,99.9883,130.42,24.9709,61.5754,129.954,98.5736,26.5989,128.876,59.6448,9.3443,129.076,11.9106,179.227,143.51,-27.797,298.68,146.561,-83.4595,267.937,146.262,0.410467,258.462,145.823,-42.9314,210.774,145.044
47,0,83.0815,100.018,130.406,24.9719,61.5867,129.956,98.579,26.6151,128.874,59.6307,9.3611,129.094,11.9276,179.239,143.525,-27.7616,298.703,146.544,-83.4373,267.977,146.244,0.433957,258.484,145.812,-42.9171,210.808,145.032
48,0,83.1645,100.145,130.387,24.9864,61.6104,129.997,98.5882,26.6348,128.933,59.6354,9.3796,129.134,11.8999,179.25,143.563,-27.7513,298.747,146.55,-83.4022,268.023,146.267,0.459488,258.516,145.825,-42.9074,210.843,145.059
49,0,83.1062,100.049,130.456,24.9708,61.6231,130.041,98.5691,26.6517,128.964,59.6201,9.38657,129.17,11.871,179.273,143.573,-27.7241,298.773,146.562,-83.3945,268.064,146.275,0.47579,258.533,145.818,-42.9122,210.879,145.072
